metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_18;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedavg;Hospital_19;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedavg;Hospital_20;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_21;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9167±0.0236;1.0000±0.0000
fedavg;Hospital_22;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_23;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_24;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_25;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_26;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_27;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_28;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_29;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9333±0.0471;1.0000±0.0000
fedavg;Hospital_30;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000
fedavg;Hospital_31;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0707;1.0000±0.0000
fedavg;Hospital_32;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_33;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_34;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000
fedavg;Hospital_35;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_36;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedavg;Hospital_37;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_38;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_39;1.0000±0.0000;0.9825±0.0248;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_40;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedavg;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_42;1.0000±0.0000;0.9649±0.0248;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_43;1.0000±0.0000;0.9825±0.0248;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_44;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_45;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_46;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_47;1.0000±0.0000;0.9825±0.0248;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_48;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedavg;Hospital_49;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_50;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;0.9500±0.0707
fedprox;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_6;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000
fedprox;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_8;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_9;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9333±0.0236;0.9833±0.0236
fedprox;Hospital_10;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_12;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_13;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_14;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_15;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9833±0.0236
fedprox;Hospital_16;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_17;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_18;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9833±0.0236
fedprox;Hospital_19;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedprox;Hospital_20;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_21;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedprox;Hospital_22;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_23;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_24;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_25;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9667±0.0471
fedprox;Hospital_26;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedprox;Hospital_27;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_28;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedprox;Hospital_29;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000
fedprox;Hospital_30;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9500±0.0707
fedprox;Hospital_31;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_32;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_33;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_34;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_35;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_36;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9667±0.0471
fedprox;Hospital_37;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_38;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_39;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_40;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9667±0.0471
fedprox;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_42;1.0000±0.0000;0.9649±0.0248;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_43;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedprox;Hospital_44;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_45;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedprox;Hospital_46;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0707
fedprox;Hospital_47;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_48;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedprox;Hospital_49;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedprox;Hospital_50;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedewa;Hospital_1;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_2;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_3;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_4;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_5;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478
fedewa;Hospital_6;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_7;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_8;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_9;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_10;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_11;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_12;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_13;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_14;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_15;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3167±0.4478
fedewa;Hospital_16;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_17;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_18;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_19;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_20;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_21;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_22;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_23;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_24;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_25;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_26;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_27;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_28;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_29;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_30;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_31;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_32;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_33;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_34;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_35;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_36;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_37;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_38;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_39;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_40;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_41;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_42;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_43;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_44;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_45;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3167±0.4478;0.3333±0.4714
fedewa;Hospital_46;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_47;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_48;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_49;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedewa;Hospital_50;1.0000±0.0000;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714;0.3333±0.4714
fedag;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;0.9500±0.0707
fedag;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_6;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedag;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_8;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_9;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0707;0.9833±0.0236
fedag;Hospital_10;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_12;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9833±0.0236
fedag;Hospital_13;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_14;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_15;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedag;Hospital_16;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_17;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_18;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;0.9833±0.0236
fedag;Hospital_19;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedag;Hospital_20;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_21;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000
fedag;Hospital_22;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_23;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_24;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_25;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9667±0.0471
fedag;Hospital_26;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedag;Hospital_27;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_28;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9500±0.0408;1.0000±0.0000
fedag;Hospital_29;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0236;1.0000±0.0000
fedag;Hospital_30;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0707
fedag;Hospital_31;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9833±0.0236
fedag;Hospital_32;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_33;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000
fedag;Hospital_34;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_35;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_36;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9667±0.0471
fedag;Hospital_37;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_38;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_39;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9667±0.0471
fedag;Hospital_40;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9500±0.0000;0.9667±0.0471
fedag;Hospital_41;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;1.0000±0.0000;0.9833±0.0236
fedag;Hospital_42;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedag;Hospital_43;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9833±0.0236;0.9833±0.0236;1.0000±0.0000
