metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
mh_de;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9767±0.0259;1.0000±0.0000
mh_de;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9817±0.0225;1.0000±0.0000
mh_de;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9767±0.0259;1.0000±0.0000
mh_ga;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9867±0.0024;1.0000±0.0000
mh_ga;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_ga;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;1.0000±0.0000
mh_ga;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9900±0.0000;1.0000±0.0000
mh_ga;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9950±0.0000;0.9933±0.0024;1.0000±0.0000
mh_pso;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9867±0.0024;1.0000±0.0000
mh_pso;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
mh_pso;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0024;1.0000±0.0000
mh_pso;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9967±0.0024;1.0000±0.0000
mh_pso;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9933±0.0024;0.9967±0.0024;1.0000±0.0000
mh_cro;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9983±0.0024;0.7367±0.3689;1.0000±0.0000
mh_cro;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.7367±0.3724;1.0000±0.0000
mh_cro;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9983±0.0024;0.7433±0.3630;1.0000±0.0000
mh_cro;Hospital_4;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.7667±0.3194;1.0000±0.0000
mh_cro;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9917±0.0047;0.7483±0.3488;1.0000±0.0000
