metodo;lr;local_epochs;mu;lr_beta;lambda_reg;gamma_reg;best_val_acc;best_round;total_rounds;tiempo_seg
fedprox;0.01;1;0.1;;;;0.605692;2;7;48.5
fedprox;0.01;1;1.0;;;;0.853902;11;16;103.3
fedprox;0.01;3;0.001;;;;0.934773;10;15;268.2
fedprox;0.01;3;0.01;;;;0.931079;10;15;267.4
fedprox;0.01;3;0.1;;;;0.922929;11;16;278.5
fedprox;0.01;3;1.0;;;;0.901939;10;15;267.7
fedprox;0.01;5;0.001;;;;0.944459;10;15;437.3
fedprox;0.01;5;0.01;;;;0.946952;11;16;455.9
fedprox;0.01;5;0.1;;;;0.928468;11;16;455.3
fedprox;0.01;5;1.0;;;;0.914957;10;15;436.6
fedprox;0.01;10;0.001;;;;0.960185;11;16;895.4
fedprox;0.01;10;0.01;;;;0.842468;2;7;421.8
fedprox;0.01;10;0.1;;;;0.88172;3;8;466.2
fedprox;0.01;10;1.0;;;;0.902824;11;16;895.2
fedprox;0.05;1;0.001;;;;0.949265;7;12;80.8
fedprox;0.05;1;0.01;;;;0.947847;11;16;103.2
fedprox;0.05;1;0.1;;;;0.945518;12;17;111.3
fedprox;0.05;1;1.0;;;;0.927919;13;18;117.2
fedprox;0.05;3;0.001;;;;0.980994;18;23;410.4
fedprox;0.05;3;0.01;;;;0.910133;4;9;159.5
fedprox;0.05;3;0.1;;;;0.982849;25;30;544.1
fedprox;0.05;3;1.0;;;;0.924956;10;15;268.6
fedprox;0.05;5;0.001;;;;0.995436;19;24;707.0
fedprox;0.05;5;0.01;;;;0.923089;4;9;259.7
fedprox;0.05;5;0.1;;;;0.953947;11;16;454.8
fedprox;0.05;5;1.0;;;;0.924939;10;15;432.6
fedprox;0.05;10;0.001;;;;0.979832;16;21;1176.9
fedprox;0.05;10;0.01;;;;0.932415;8;13;811.7
fedprox;0.05;10;0.1;;;;0.946276;7;12;768.6
fedprox;0.05;10;1.0;;;;0.840597;5;10;633.8
fedprox;0.1;1;0.001;;;;0.901792;8;13;95.7
fedprox;0.1;1;0.01;;;;0.983774;24;29;209.9
fedprox;0.1;1;0.1;;;;0.942794;9;14;100.5
fedprox;0.1;1;1.0;;;;0.937246;12;17;120.7
fedprox;0.1;3;0.001;;;;0.794799;2;7;142.7
fedprox;0.1;3;0.01;;;;0.931919;3;8;159.0
fedprox;0.1;3;0.1;;;;0.953968;11;16;337.9
fedprox;0.1;3;1.0;;;;0.841403;7;12;266.3
fedprox;0.1;5;0.001;;;;0.996699;19;24;749.3
fedprox;0.1;5;0.01;;;;0.996197;22;27;745.6
fedprox;0.1;5;0.1;;;;0.955763;12;17;467.8
fedprox;0.1;5;1.0;;;;0.943576;23;28;942.7
fedprox;0.1;10;0.001;;;;0.607678;5;10;725.9
fedprox;0.1;10;0.01;;;;0.853177;3;8;562.2
fedprox;0.1;10;0.1;;;;0.954096;10;15;1081.4
fedprox;0.1;10;1.0;;;;0.93349;7;12;867.4
fedprox;0.5;1;0.001;;;;0.129391;1;6;51.2
fedprox;0.5;1;0.01;;;;0.129391;1;6;51.9
fedprox;0.5;1;0.1;;;;0.129391;1;6;51.4
fedprox;0.5;1;1.0;;;;0.129391;1;6;50.9
fedprox;0.5;3;0.001;;;;0.129391;1;6;137.0
fedprox;0.5;3;0.01;;;;0.129391;1;6;138.9
fedprox;0.5;3;0.1;;;;0.129391;1;6;137.9
fedprox;0.5;3;1.0;;;;0.129391;1;6;138.8
fedprox;0.5;5;0.001;;;;0.129391;1;6;228.5
fedprox;0.5;5;0.01;;;;0.129391;1;6;234.8
fedprox;0.5;5;0.1;;;;0.129391;1;6;223.8
fedprox;0.5;5;1.0;;;;0.129391;1;6;225.9
fedprox;0.5;10;0.001;;;;0.129391;1;6;442.0
fedprox;0.5;10;0.01;;;;0.129391;1;6;430.0
fedprox;0.5;10;0.1;;;;0.129391;1;6;386.3
fedprox;0.5;10;1.0;;;;0.129391;1;6;339.2
fedewa;0.001;1;;;;;0.661488;7;12;652.7
fedewa;0.001;3;;;;;0.692836;1;6;904.8
fedewa;0.001;5;;;;;0.561798;1;6;1475.3
fedewa;0.001;10;;;;;0.918406;7;12;6755.2
fedewa;0.01;1;;;;;0.839623;5;10;617.0
fedewa;0.01;3;;;;;0.962187;20;25;4141.1
fedewa;0.01;5;;;;;0.977596;26;30;8589.1
fedewa;0.01;10;;;;;0.958313;8;13;6933.7
fedewa;0.05;1;;;;;0.560437;3;8;407.6
fedewa;0.05;3;;;;;0.701129;2;7;1095.0
fedewa;0.05;5;;;;;0.944755;4;9;2475.6
fedewa;0.05;10;;;;;0.893868;9;14;7767.2
fedewa;0.1;1;;;;;0.242673;1;6;310.6
fedewa;0.1;3;;;;;0.272922;1;6;922.3
fedewa;0.1;5;;;;;0.701598;3;8;2055.0
fedewa;0.1;10;;;;;0.610119;1;6;3060.6
fedewa;0.5;1;;;;;0.129391;1;6;312.4
fedewa;0.5;3;;;;;0.129391;1;6;921.1
fedewa;0.5;5;;;;;0.129391;1;6;1530.2
fedewa;0.5;10;;;;;0.129391;1;6;3053.0
fedag;0.001;1;;0.001;;;0.378875;2;7;51.0
fedag;0.001;1;;0.01;;;0.378952;3;8;55.2
fedag;0.001;1;;0.1;;;0.513719;2;7;49.8
fedag;0.001;3;;0.001;;;0.5697;2;7;136.1
fedag;0.001;3;;0.01;;;0.529349;7;12;226.8
fedag;0.001;3;;0.1;;;0.569634;2;7;135.9
fedag;0.001;5;;0.001;;;0.936413;22;27;826.0
fedag;0.001;5;;0.01;;;0.91372;15;20;591.2
fedag;0.001;5;;0.1;;;0.582535;2;7;214.5
fedag;0.001;10;;0.001;;;0.955261;27;30;1737.8
fedag;0.001;10;;0.01;;;0.954866;30;30;1732.1
fedag;0.001;10;;0.1;;;0.950933;22;27;1554.5
fedag;0.01;1;;0.001;;;0.929605;16;21;136.2
fedag;0.01;1;;0.01;;;0.951237;30;30;197.6
fedag;0.01;1;;0.1;;;0.847811;7;12;79.4
fedag;0.01;3;;0.001;;;0.859787;7;12;216.2
fedag;0.01;3;;0.01;;;0.975774;26;30;538.5
fedag;0.01;3;;0.1;;;0.961277;22;27;483.7
fedag;0.01;5;;0.001;;;0.685227;2;7;212.0
fedag;0.01;5;;0.01;;;0.957421;10;15;432.5
fedag;0.01;5;;0.1;;;0.963575;24;29;842.6
fedag;0.01;10;;0.001;;;0.996129;30;30;1733.9
fedag;0.01;10;;0.01;;;0.9518;10;15;850.7
fedag;0.01;10;;0.1;;;0.968811;16;21;1192.2
fedag;0.05;1;;0.001;;;0.945383;10;15;97.9
fedag;0.05;1;;0.01;;;0.9476;10;15;97.2
fedag;0.05;1;;0.1;;;0.951013;10;15;97.4
fedag;0.05;3;;0.001;;;0.936019;16;21;425.5
fedag;0.05;3;;0.01;;;0.952164;10;15;322.6
fedag;0.05;3;;0.1;;;0.662549;2;7;170.9
fedag;0.05;5;;0.001;;;0.843691;2;7;279.7
fedag;0.05;5;;0.01;;;0.971221;19;24;759.8
fedag;0.05;5;;0.1;;;0.966801;11;16;448.1
fedag;0.05;10;;0.001;;;0.929922;19;24;1404.6
fedag;0.05;10;;0.01;;;0.71823;2;7;418.9
fedag;0.05;10;;0.1;;;0.843654;8;13;759.1
fedag;0.1;1;;0.001;;;0.753768;7;12;80.0
fedag;0.1;1;;0.01;;;0.839541;10;15;97.4
fedag;0.1;1;;0.1;;;0.912244;14;19;124.5
fedag;0.1;3;;0.001;;;0.75624;2;7;130.4
fedag;0.1;3;;0.01;;;0.749601;3;8;143.7
fedag;0.1;3;;0.1;;;0.870393;3;8;143.2
fedag;0.1;5;;0.001;;;0.824152;2;7;212.7
fedag;0.1;5;;0.01;;;0.86903;9;14;403.8
fedag;0.1;5;;0.1;;;0.674791;3;8;235.6
fedag;0.1;10;;0.001;;;0.726806;6;11;653.1
fedag;0.1;10;;0.01;;;0.983746;19;24;1380.6
fedag;0.1;10;;0.1;;;0.951149;19;24;1372.5
fedag;0.5;1;;0.001;;;0.129391;1;6;39.3
fedag;0.5;1;;0.01;;;0.129391;1;6;39.3
fedag;0.5;1;;0.1;;;0.129391;1;6;39.1
fedag;0.5;3;;0.001;;;0.129391;1;6;106.8
fedag;0.5;3;;0.01;;;0.129391;1;6;106.5
fedag;0.5;3;;0.1;;;0.129391;1;6;106.8
fedag;0.5;5;;0.001;;;0.129391;1;6;174.6
fedag;0.5;5;;0.01;;;0.129391;1;6;174.1
fedag;0.5;5;;0.1;;;0.129391;1;6;174.6
fedag;0.5;10;;0.001;;;0.129391;1;6;342.4
fedag;0.5;10;;0.01;;;0.129391;1;6;342.4
fedag;0.5;10;;0.1;;;0.129391;1;6;342.2
mh_cro;0.001;1;;;1e-05;0.001;0.56727;2;7;105.7
mh_cro;0.001;1;;;1e-05;0.005;0.856101;20;25;384.8
mh_cro;0.001;1;;;1e-05;0.01;0.86282;19;24;370.6
mh_cro;0.001;1;;;1e-05;0.05;0.614456;4;9;146.4
mh_cro;0.001;1;;;0.0001;0.001;0.699759;9;14;223.6
mh_cro;0.001;1;;;0.0001;0.005;0.750972;11;16;259.2
mh_cro;0.001;1;;;0.0001;0.01;0.567154;2;7;110.0
mh_cro;0.001;1;;;0.0001;0.05;0.383577;2;7;107.4
mh_cro;0.001;1;;;0.001;0.001;0.73401;6;11;165.5
mh_cro;0.001;1;;;0.001;0.005;0.714661;10;15;231.5
mh_cro;0.001;1;;;0.001;0.01;0.829714;22;27;408.2
mh_cro;0.001;1;;;0.001;0.05;0.672672;11;16;231.8
mh_cro;0.001;1;;;0.01;0.001;0.665357;11;16;250.7
mh_cro;0.001;1;;;0.01;0.005;0.736836;10;15;239.2
mh_cro;0.001;1;;;0.01;0.01;0.703672;7;12;190.0
mh_cro;0.001;1;;;0.01;0.05;0.725875;12;17;253.9
mh_cro;0.001;3;;;1e-05;0.001;0.925397;22;27;818.3
mh_cro;0.001;3;;;1e-05;0.005;0.893324;11;16;480.5
mh_cro;0.001;3;;;1e-05;0.01;0.855184;12;17;425.1
mh_cro;0.001;3;;;1e-05;0.05;0.882486;10;15;439.4
mh_cro;0.001;3;;;0.0001;0.001;0.929437;28;30;648.8
mh_cro;0.001;3;;;0.0001;0.005;0.90249;20;25;494.3
mh_cro;0.001;3;;;0.0001;0.01;0.920853;21;26;567.5
mh_cro;0.001;3;;;0.0001;0.05;0.917131;23;28;573.6
mh_cro;0.001;3;;;0.001;0.001;0.897261;11;16;354.9
mh_cro;0.001;3;;;0.001;0.005;0.857864;8;13;290.2
mh_cro;0.001;3;;;0.001;0.01;0.90963;20;25;522.5
mh_cro;0.001;3;;;0.001;0.05;0.845688;10;15;349.2
mh_cro;0.001;3;;;0.01;0.001;0.468675;2;7;160.9
mh_cro;0.001;3;;;0.01;0.005;0.783029;5;10;221.4
mh_cro;0.001;3;;;0.01;0.01;0.917966;23;28;653.1
mh_cro;0.001;3;;;0.01;0.05;0.911577;18;23;519.3
mh_cro;0.001;5;;;1e-05;0.001;0.921885;22;27;937.1
mh_cro;0.001;5;;;1e-05;0.005;0.252209;1;6;186.6
mh_cro;0.001;5;;;1e-05;0.01;0.917673;24;29;965.4
mh_cro;0.001;5;;;1e-05;0.05;0.92299;22;27;886.9
mh_cro;0.001;5;;;0.0001;0.001;0.741715;8;13;421.7
mh_cro;0.001;5;;;0.0001;0.005;0.910728;16;21;715.7
mh_cro;0.001;5;;;0.0001;0.01;0.943455;29;30;1096.1
mh_cro;0.001;5;;;0.0001;0.05;0.937036;24;29;978.3
mh_cro;0.001;5;;;0.001;0.001;0.917753;20;25;820.7
mh_cro;0.001;5;;;0.001;0.005;0.767558;14;19;618.9
mh_cro;0.001;5;;;0.001;0.01;0.647314;6;11;358.6
mh_cro;0.001;5;;;0.001;0.05;0.83796;12;17;555.7
mh_cro;0.001;5;;;0.01;0.001;0.916566;12;17;590.7
mh_cro;0.001;5;;;0.01;0.005;0.892313;12;17;578.8
mh_cro;0.001;5;;;0.01;0.01;0.893146;15;20;677.6
mh_cro;0.001;5;;;0.01;0.05;0.849676;13;18;577.2
mh_cro;0.001;10;;;1e-05;0.001;0.839395;9;14;793.7
mh_cro;0.001;10;;;1e-05;0.005;0.859015;16;21;1141.7
mh_cro;0.001;10;;;1e-05;0.01;0.904568;15;20;1174.1
mh_cro;0.001;10;;;1e-05;0.05;0.822448;6;11;674.1
mh_cro;0.001;10;;;0.0001;0.001;0.946659;20;25;1505.0
mh_cro;0.001;10;;;0.0001;0.005;0.917663;20;25;1480.2
mh_cro;0.001;10;;;0.0001;0.01;0.844153;11;16;932.0
mh_cro;0.001;10;;;0.0001;0.05;0.951491;25;30;1875.5
mh_cro;0.001;10;;;0.001;0.001;0.945733;18;23;1465.3
mh_cro;0.001;10;;;0.001;0.005;0.89451;12;17;1028.6
mh_cro;0.001;10;;;0.001;0.01;0.946109;20;25;1584.3
mh_cro;0.001;10;;;0.001;0.05;0.646269;5;10;646.4
mh_cro;0.001;10;;;0.01;0.001;0.895607;11;16;955.0
mh_cro;0.001;10;;;0.01;0.005;0.892403;15;20;1128.9
mh_cro;0.001;10;;;0.01;0.01;0.818792;6;11;687.2
mh_cro;0.001;10;;;0.01;0.05;0.944107;23;28;1825.7
mh_cro;0.01;1;;;1e-05;0.001;0.94035;19;24;270.9
mh_cro;0.01;1;;;1e-05;0.005;0.94063;22;27;313.8
mh_cro;0.01;1;;;1e-05;0.01;0.877298;16;21;242.8
mh_cro;0.01;1;;;1e-05;0.05;0.856718;11;16;176.9
mh_cro;0.01;1;;;0.0001;0.001;0.935046;20;25;281.0
mh_cro;0.01;1;;;0.0001;0.005;0.829101;5;10;113.1
mh_cro;0.01;1;;;0.0001;0.01;0.598772;7;12;136.6
mh_cro;0.01;1;;;0.0001;0.05;0.940187;27;30;335.9
mh_cro;0.01;1;;;0.001;0.001;0.869676;9;14;154.4
mh_cro;0.01;1;;;0.001;0.005;0.84074;9;14;161.6
mh_cro;0.01;1;;;0.001;0.01;0.929994;17;22;248.6
mh_cro;0.01;1;;;0.001;0.05;0.775448;6;11;124.9
mh_cro;0.01;1;;;0.01;0.001;0.935034;26;30;322.5
mh_cro;0.01;1;;;0.01;0.005;0.93221;14;19;212.3
mh_cro;0.01;1;;;0.01;0.01;0.863553;14;19;209.8
mh_cro;0.01;1;;;0.01;0.05;0.924394;12;17;196.9
mh_cro;0.01;3;;;1e-05;0.001;0.953546;14;19;427.1
mh_cro;0.01;3;;;1e-05;0.005;0.956809;17;22;484.8
mh_cro;0.01;3;;;1e-05;0.01;0.963591;24;29;655.6
mh_cro;0.01;3;;;1e-05;0.05;0.89283;8;13;328.0
mh_cro;0.01;3;;;0.0001;0.001;0.948122;15;20;447.7
mh_cro;0.01;3;;;0.0001;0.005;0.904244;11;16;346.8
mh_cro;0.01;3;;;0.0001;0.01;0.872722;8;13;312.1
mh_cro;0.01;3;;;0.0001;0.05;0.961073;22;27;575.1
mh_cro;0.01;3;;;0.001;0.001;0.890688;17;22;476.1
mh_cro;0.01;3;;;0.001;0.005;0.842125;9;14;301.8
mh_cro;0.01;3;;;0.001;0.01;0.936036;12;17;376.8
mh_cro;0.01;3;;;0.001;0.05;0.883209;11;16;349.7
mh_cro;0.01;3;;;0.01;0.001;0.962335;20;25;575.9
mh_cro;0.01;3;;;0.01;0.005;0.912248;9;14;309.0
mh_cro;0.01;3;;;0.01;0.01;0.899523;13;18;398.4
mh_cro;0.01;3;;;0.01;0.05;0.952148;14;19;430.9
mh_cro;0.01;5;;;1e-05;0.001;0.81263;5;10;324.9
mh_cro;0.01;5;;;1e-05;0.005;0.969566;16;21;740.8
mh_cro;0.01;5;;;1e-05;0.01;0.845917;4;9;299.0
mh_cro;0.01;5;;;1e-05;0.05;0.924342;8;13;430.2
mh_cro;0.01;5;;;0.0001;0.001;0.952587;11;16;581.9
mh_cro;0.01;5;;;0.0001;0.005;0.963238;15;20;707.5
mh_cro;0.01;5;;;0.0001;0.01;0.823046;3;8;257.4
mh_cro;0.01;5;;;0.0001;0.05;0.993495;25;30;987.2
mh_cro;0.01;5;;;0.001;0.001;0.846846;9;14;426.2
mh_cro;0.01;5;;;0.001;0.005;0.868804;6;11;388.9
mh_cro;0.01;5;;;0.001;0.01;0.957635;7;12;452.6
mh_cro;0.01;5;;;0.001;0.05;0.964905;21;26;822.1
mh_cro;0.01;5;;;0.01;0.001;0.954087;13;18;502.1
mh_cro;0.01;5;;;0.01;0.005;0.92686;7;12;358.6
mh_cro;0.01;5;;;0.01;0.01;0.863875;7;12;344.7
mh_cro;0.01;5;;;0.01;0.05;0.957396;11;16;477.5
mh_cro;0.01;10;;;1e-05;0.001;0.914501;7;12;682.2
mh_cro;0.01;10;;;1e-05;0.005;0.965068;14;19;949.5
mh_cro;0.01;10;;;1e-05;0.01;0.785606;4;9;447.8
mh_cro;0.01;10;;;1e-05;0.05;0.778527;3;8;422.4
mh_cro;0.01;10;;;0.0001;0.001;0.962696;15;20;1026.4
mh_cro;0.01;10;;;0.0001;0.005;0.941948;13;18;893.0
mh_cro;0.01;10;;;0.0001;0.01;0.992295;24;29;1630.4
mh_cro;0.01;10;;;0.0001;0.05;0.870553;5;10;546.3
mh_cro;0.01;10;;;0.001;0.001;0.974747;19;24;1300.8
mh_cro;0.01;10;;;0.001;0.005;0.963732;14;19;1026.9
mh_cro;0.01;10;;;0.001;0.01;0.890223;10;15;743.7
mh_cro;0.01;10;;;0.001;0.05;0.727941;3;8;362.8
mh_cro;0.01;10;;;0.01;0.001;0.993264;18;23;1260.8
mh_cro;0.01;10;;;0.01;0.005;0.917956;11;16;817.6
mh_cro;0.01;10;;;0.01;0.01;0.965634;12;17;1018.2
mh_cro;0.01;10;;;0.01;0.05;0.984976;14;19;1349.7
mh_cro;0.05;1;;;1e-05;0.001;0.941086;9;14;274.4
mh_cro;0.05;1;;;1e-05;0.005;0.950505;14;19;277.9
mh_cro;0.05;1;;;1e-05;0.01;0.968132;20;25;312.4
mh_cro;0.05;1;;;1e-05;0.05;0.945107;10;15;184.7
mh_cro;0.05;1;;;0.0001;0.001;0.952505;11;16;202.6
mh_cro;0.05;1;;;0.0001;0.005;0.864784;3;8;109.1
mh_cro;0.05;1;;;0.0001;0.01;0.967909;17;22;282.1
mh_cro;0.05;1;;;0.0001;0.05;0.971648;28;30;420.6
mh_cro;0.05;1;;;0.001;0.001;0.607278;2;7;144.4
mh_cro;0.05;1;;;0.001;0.005;0.963421;18;23;543.0
mh_cro;0.05;1;;;0.001;0.01;0.95574;12;17;368.6
mh_cro;0.05;1;;;0.001;0.05;0.953897;14;19;407.1
mh_cro;0.05;1;;;0.01;0.001;0.950781;15;20;421.1
mh_cro;0.05;1;;;0.01;0.005;0.962591;21;26;524.9
mh_cro;0.05;1;;;0.01;0.01;0.963462;28;30;653.1
mh_cro;0.05;1;;;0.01;0.05;0.934814;8;13;251.7
mh_cro;0.05;3;;;1e-05;0.001;0.958861;13;18;646.5
mh_cro;0.05;3;;;1e-05;0.005;0.962966;16;21;647.1
mh_cro;0.05;3;;;1e-05;0.01;0.960759;12;17;482.8
mh_cro;0.05;3;;;1e-05;0.05;0.971157;22;27;811.3
mh_cro;0.05;3;;;0.0001;0.001;0.853733;3;8;254.2
mh_cro;0.05;3;;;0.0001;0.005;0.963407;10;15;532.8
mh_cro;0.05;3;;;0.0001;0.01;0.944001;6;11;410.4
mh_cro;0.05;3;;;0.0001;0.05;0.996582;24;29;1001.5
mh_cro;0.05;3;;;0.001;0.001;0.983236;18;23;787.2
mh_cro;0.05;3;;;0.001;0.005;0.97518;16;21;692.0
mh_cro;0.05;3;;;0.001;0.01;0.963752;12;17;593.6
mh_cro;0.05;3;;;0.001;0.05;0.975737;16;21;606.9
mh_cro;0.05;3;;;0.01;0.001;0.993326;25;30;747.6
mh_cro;0.05;3;;;0.01;0.005;0.980965;19;24;614.5
mh_cro;0.05;3;;;0.01;0.01;0.980263;17;22;755.6
mh_cro;0.05;3;;;0.01;0.05;0.988212;28;30;991.6
mh_cro;0.05;5;;;1e-05;0.001;0.979946;22;27;1287.6
mh_cro;0.05;5;;;1e-05;0.005;0.937614;7;12;584.7
mh_cro;0.05;5;;;1e-05;0.01;0.988379;13;18;853.7
mh_cro;0.05;5;;;1e-05;0.05;0.957005;12;17;662.0
mh_cro;0.05;5;;;0.0001;0.001;0.970628;14;19;732.0
mh_cro;0.05;5;;;0.0001;0.005;0.94331;9;14;549.7
mh_cro;0.05;5;;;0.0001;0.01;0.967686;14;19;778.0
mh_cro;0.05;5;;;0.0001;0.05;0.99191;21;26;984.9
mh_cro;0.05;5;;;0.001;0.001;0.964666;14;19;716.1
mh_cro;0.05;5;;;0.001;0.005;0.970824;15;20;778.6
mh_cro;0.05;5;;;0.001;0.01;0.944681;12;17;678.3
mh_cro;0.05;5;;;0.001;0.05;0.980008;16;21;799.3
mh_cro;0.05;5;;;0.01;0.001;0.969386;13;18;649.4
mh_cro;0.05;5;;;0.01;0.005;0.967753;12;17;682.9
mh_cro;0.05;5;;;0.01;0.01;0.982557;22;27;1050.5
mh_cro;0.05;5;;;0.01;0.05;0.969336;12;17;636.5
mh_cro;0.05;10;;;1e-05;0.001;0.971844;11;16;1095.4
mh_cro;0.05;10;;;1e-05;0.005;0.990858;17;22;1628.0
mh_cro;0.05;10;;;1e-05;0.01;0.996047;13;18;1348.6
mh_cro;0.05;10;;;1e-05;0.05;0.987821;17;22;1521.7
mh_cro;0.05;10;;;0.0001;0.001;0.973735;10;15;979.5
mh_cro;0.05;10;;;0.0001;0.005;0.942004;7;12;745.6
mh_cro;0.05;10;;;0.0001;0.01;0.986492;14;19;1156.7
mh_cro;0.05;10;;;0.0001;0.05;0.994669;15;20;1121.0
mh_cro;0.05;10;;;0.001;0.001;0.990856;20;25;1302.4
mh_cro;0.05;10;;;0.001;0.005;0.995262;22;27;1435.0
mh_cro;0.05;10;;;0.001;0.01;0.988912;22;27;1396.4
mh_cro;0.05;10;;;0.001;0.05;0.97307;9;14;784.9
mh_cro;0.05;10;;;0.01;0.001;0.992807;13;18;956.3
mh_cro;0.05;10;;;0.01;0.005;0.959123;11;16;914.7
mh_cro;0.05;10;;;0.01;0.01;0.98668;18;23;1290.9
mh_cro;0.05;10;;;0.01;0.05;0.98446;15;20;1058.3
mh_cro;0.1;1;;;1e-05;0.001;0.978108;24;29;295.2
mh_cro;0.1;1;;;1e-05;0.005;0.970246;18;23;239.2
mh_cro;0.1;1;;;1e-05;0.01;0.908863;5;10;104.9
mh_cro;0.1;1;;;1e-05;0.05;0.916399;9;14;148.5
mh_cro;0.1;1;;;0.0001;0.001;0.958994;10;15;153.2
mh_cro;0.1;1;;;0.0001;0.005;0.979775;20;25;258.6
mh_cro;0.1;1;;;0.0001;0.01;0.945661;7;12;125.3
mh_cro;0.1;1;;;0.0001;0.05;0.984877;17;22;235.9
mh_cro;0.1;1;;;0.001;0.001;0.767253;5;10;99.8
mh_cro;0.1;1;;;0.001;0.005;0.96934;25;30;316.1
mh_cro;0.1;1;;;0.001;0.01;0.802816;4;9;93.3
mh_cro;0.1;1;;;0.001;0.05;0.924704;13;18;185.8
mh_cro;0.1;1;;;0.01;0.001;0.987124;28;30;314.9
mh_cro;0.1;1;;;0.01;0.005;0.847961;3;8;81.9
mh_cro;0.1;1;;;0.01;0.01;0.979717;18;23;247.5
mh_cro;0.1;1;;;0.01;0.05;0.585033;6;11;115.5
mh_cro;0.1;3;;;1e-05;0.001;0.928145;6;11;219.1
mh_cro;0.1;3;;;1e-05;0.005;0.995815;30;30;584.0
mh_cro;0.1;3;;;1e-05;0.01;0.974473;13;18;373.2
mh_cro;0.1;3;;;1e-05;0.05;0.726802;4;9;179.9
mh_cro;0.1;3;;;0.0001;0.001;0.989489;22;27;530.4
mh_cro;0.1;3;;;0.0001;0.005;0.98602;18;23;480.4
mh_cro;0.1;3;;;0.0001;0.01;0.914272;6;11;228.0
mh_cro;0.1;3;;;0.0001;0.05;0.955054;10;15;305.0
mh_cro;0.1;3;;;0.001;0.001;0.981134;17;22;427.9
mh_cro;0.1;3;;;0.001;0.005;0.993533;27;30;599.4
mh_cro;0.1;3;;;0.001;0.01;0.961724;9;14;273.8
mh_cro;0.1;3;;;0.001;0.05;0.994308;25;30;594.7
mh_cro;0.1;3;;;0.01;0.001;0.963991;14;19;364.3
mh_cro;0.1;3;;;0.01;0.005;0.755261;3;8;148.7
mh_cro;0.1;3;;;0.01;0.01;0.831005;3;8;172.9
mh_cro;0.1;3;;;0.01;0.05;0.964904;16;21;415.6
mh_cro;0.1;5;;;1e-05;0.001;0.995276;16;21;617.0
mh_cro;0.1;5;;;1e-05;0.005;0.867992;4;9;284.1
mh_cro;0.1;5;;;1e-05;0.01;0.978507;15;20;587.6
mh_cro;0.1;5;;;1e-05;0.05;0.973531;19;24;708.3
mh_cro;0.1;5;;;0.0001;0.001;0.99448;15;20;573.2
mh_cro;0.1;5;;;0.0001;0.005;0.847853;5;10;374.1
mh_cro;0.1;5;;;0.0001;0.01;0.939897;6;11;430.0
mh_cro;0.1;5;;;0.0001;0.05;0.988447;10;15;553.8
mh_cro;0.1;5;;;0.001;0.001;0.982643;16;21;773.8
mh_cro;0.1;5;;;0.001;0.005;0.996645;19;24;947.1
mh_cro;0.1;5;;;0.001;0.01;0.995545;21;26;966.1
mh_cro;0.1;5;;;0.001;0.05;0.771001;3;8;273.8
mh_cro;0.1;5;;;0.01;0.001;0.992385;21;26;978.2
